,, 533 ," 9,644 "," 4,547 ",,,," 221,299.01 ",," 7,143,832.81 "," 559,776.83 "," 539,252.67 ",,,,,,,,,,,,," 499,983.03 "," 473,569.68 "," 973,552.71 "
BATCH NO.,BY,TOTAL CTN," Gross
Weight "," Volume
Weight ",Duty,Mat'l no, QTY ,AMOUNT, EX.RATE@ ,AMOUNT (THB), Actual Duty Fee , Actual Vat Fee , SERVICE& Handling Chgs , Transportation ," Paperless, Document, D/O , Bank Fee ", Customs fee , Customs Overtime , Freight+FUEL+Security charge ," EX-WORK/ 
FREE ZONE CHG "," CAF, CC Fee "," THC, CFS, STATUS, FACILITY ", Port/Storage /Terminal charges , Translate fee for through B/L for Form E document , Courier fee for Form E document , TOTAL Freight&Local chgs(Excluded VAT) , vat 7% , Grand Total 
IM190546,AIR,,,,30%,54958, 200.00 ,7.22,32.0022,231.06, 69.32 , 21.03 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,54958," 8,000.00 ",288.80,32.0022,"9,242.24"," 2,772.67 ", 841.04 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,54958," 3,000.00 ",108.30,32.0022,"3,465.84"," 1,039.75 ", 315.39 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,54958," 3,000.00 ",108.30,32.0022,"3,465.84"," 1,039.75 ", 315.39 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,54963," 2,000.00 ",257.60,32.0022,"8,243.77"," 2,473.13 ", 750.18 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,54963," 6,000.00 ",772.80,32.0022,"24,731.30"," 7,419.39 "," 2,250.55 ",,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,54963, 400.00 ,51.52,32.0022,"1,648.75", 494.63 , 150.04 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,54962, 400.00 ,39.56,32.0022,"1,266.01", 379.80 , 115.21 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,50049," 1,500.00 ",116.70,32.0022,"3,734.66"," 1,120.40 ", 339.85 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,50049, 200.00 ,15.56,32.0022,497.95, 149.39 , 45.31 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,50049," 2,000.00 ",117.80,32.0022,"3,769.86"," 1,130.96 ", 343.06 ,,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,50043," 14,764.00 ","1,182.60",32.0022,"37,845.80"," 11,353.74 "," 3,443.97 ",,,,,,,,,,,,, -   ,, -   
IM190547,AIR, 14 , 103.50 , 114.00 ,30%,50826," 1,000.00 ",110.00,32.0022,"3,520.24"," 1,056.07 ", 320.34 ," 1,200.00 "," 1,200.00 ", 300.00 , 200.00 ,," 6,245.15 ",, 712.26 ,," 4,677.00 ",, 630.41 ," 15,164.82 "," 7,256.25 "," 22,421.07 "
IM190547,AIR,,,,30%,50914," 2,000.00 ",140.00,32.0022,"4,480.31"," 1,344.09 ", 407.71 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50915," 3,000.00 ",270.00,32.0022,"8,640.59"," 2,592.18 ", 786.29 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50827," 4,000.00 ",380.00,32.0022,"12,160.84"," 3,648.25 "," 1,106.64 ",,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50827," 1,000.00 ",95.00,32.0022,"3,040.21", 912.06 , 276.66 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50827," 2,000.00 ",190.00,32.0022,"6,080.42"," 1,824.13 ", 553.32 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50844, 300.00 ,54.00,32.0022,"1,728.12", 518.44 , 157.26 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50827," 2,500.00 ",237.50,32.0022,"7,600.52"," 2,280.16 ", 691.65 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50919," 2,500.00 ",300.00,32.0022,"9,600.66"," 2,880.20 ", 873.66 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50918, 500.00 ,65.00,32.0022,"2,080.14", 624.04 , 189.29 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50828," 1,000.00 ",120.00,32.0022,"3,840.26"," 1,152.08 ", 349.46 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50839, 300.00 ,54.00,32.0022,"1,728.12", 518.44 , 157.26 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50919," 1,500.00 ",180.00,32.0022,"5,760.40"," 1,728.12 ", 524.20 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50839," 1,500.00 ",270.00,32.0022,"8,640.59"," 2,592.18 ", 786.29 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50918," 2,500.00 ",325.00,32.0022,"10,400.72"," 3,120.21 ", 946.47 ,,,,,,,,,,,,, -   ,, -   
IM190547,AIR,,,,30%,50827, 100.00 ,9.50,32.0022,304.02, 91.21 , 27.67 ,,,,,,,,,,,,, -   ,, -   
IM190559,AIR, 4 , 271.20 , 328.50 ,5%,61079,800.00,265.61,36.1917,"9,612.88", 480.64 , 706.55 ," 1,300.00 "," 1,500.00 ", 750.00 , 400.00 ,,," 1,930.80 ",,," 2,323.28 ",,," 8,204.08 ", 546.29 ," 8,750.37 "
IM190559,AIR,,,,5%,60236,"1,170.00",307.72,36.1917,"11,136.91", 556.85 , 818.56 ,,,,,,,,,,,,, -   ,, -   
IM190559,AIR,,,,30%,64001,210.00,30.18,36.1917,"1,092.27", 327.68 , 99.40 ,,,,,,,,,,,,, -   ,, -   
IM190559,AIR,,,,5%,64003,"14,000.00","1,309.01",36.1917,"47,375.30"," 2,368.76 "," 3,482.08 ",,,,,,,,,,,,, -   ,, -   
IM190559,AIR,,,,30%,64140,"1,200.00",392.41,36.1917,"14,201.98"," 4,260.60 "," 1,292.38 ",,,,,,,,,,,,, -   ,, -   
IM190559,AIR,,,,5%,64105,"2,302.00",183.24,36.1917,"6,631.77", 331.59 , 487.43 ,,,,,,,,,,,,, -   ,, -   
IM190559,AIR,,,,5%,64165,450.00,15.81,36.1917,572.19, 28.61 , 42.06 ,,,,,,,,,,,,, -   ,, -   
IM190559,AIR,,,,10%,60055,"1,000.00",38.10,36.1917,"1,378.90", 137.89 , 106.18 ,,,,,,,,,,,,, -   ,, -   
IM190559,AIR,,,,10%,60242,"17,650.00",299.58,36.1917,"10,842.31"," 1,084.23 ", 834.86 ,,,,,,,,,,,,, -   ,, -   
IM190560,AIR, 11 , 228.03 , 230.00 ,5%,50782,"1,068.00","2,103.96",32.0022,"67,331.35"," 3,366.57 "," 4,948.85 "," 1,200.00 ",, 300.00 , 200.00 ,," 16,848.65 ",," 1,242.43 ",," 9,833.00 ",,," 29,624.08 "," 36,416.28 "," 66,040.36 "
